EVENT DATE,PREVIOUS DATE,NEXT DATE,NEXT WEEK DATE,STOCK,EVENT,EVENT TYPE,PRE EVENT PRICE,POST EVENT PRICE,NEXT WEEK PRICE,NEXT DAY RETURN,PRE EVENT TO NEXT WEEK RETURN,POST EVENT TO NEXT WEEK RETURN,REVERSAL FROM PRE EVENT PRICE,REVERSAL FROM POST EVENT PRICE
10-01-2014,09-01-2014,13-01-2014,17-01-2014,INFY,Quarterly Results,Micro Economic,,,,,,,,
16-01-2014,15-01-2014,17-01-2014,23-01-2014,TCS,Quarterly Results & 3rd Interim Dividend,Micro Economic,,,,,,,,
16-01-2014,15-01-2014,17-01-2014,23-01-2014,AXISBANK,Quarterly Results,Micro Economic,,,,,,,,
17-01-2014,16-01-2014,20-01-2014,24-01-2014,HDFCBANK,Quarterly Results,Micro Economic,,,,,,,,
17-01-2014,16-01-2014,20-01-2014,24-01-2014,RELIANCE,Quarterly Results,Micro Economic,,,,,,,,
17-01-2014,16-01-2014,20-01-2014,24-01-2014,ITC,Quarterly Results,Micro Economic,,,,,,,,
22-01-2014,21-01-2014,23-01-2014,29-01-2014,LT,Quarterly Results,Micro Economic,,,,,,,,
29-01-2014,28-01-2014,30-01-2014,05-02-2014,ICICIBANK,Quarterly Results,Micro Economic,,,,,,,,
28-02-2014,27-02-2014,03-03-2014,07-03-2014,HDFCBANK,GDP Growth Rate YoY Q4 2013,Macro Economic,,,,,,,,
28-02-2014,27-02-2014,03-03-2014,07-03-2014,RELIANCE,GDP Growth Rate YoY Q4 2013,Macro Economic,,,,,,,,
28-02-2014,27-02-2014,03-03-2014,07-03-2014,ICICIBANK,GDP Growth Rate YoY Q4 2013,Macro Economic,,,,,,,,
28-02-2014,27-02-2014,03-03-2014,07-03-2014,INFY,GDP Growth Rate YoY Q4 2013,Macro Economic,,,,,,,,
28-02-2014,27-02-2014,03-03-2014,07-03-2014,TCS,GDP Growth Rate YoY Q4 2013,Macro Economic,,,,,,,,
28-02-2014,27-02-2014,03-03-2014,07-03-2014,LT,GDP Growth Rate YoY Q4 2013,Macro Economic,,,,,,,,
28-02-2014,27-02-2014,03-03-2014,07-03-2014,ITC,GDP Growth Rate YoY Q4 2013,Macro Economic,,,,,,,,
28-02-2014,27-02-2014,03-03-2014,07-03-2014,AXISBANK,GDP Growth Rate YoY Q4 2013,Macro Economic,,,,,,,,
12-03-2014,11-03-2014,13-03-2014,19-03-2014,HDFCBANK,Inflation Rate YoY FEB,Macro Economic,,,,,,,,
12-03-2014,11-03-2014,13-03-2014,19-03-2014,RELIANCE,Inflation Rate YoY FEB,Macro Economic,,,,,,,,
12-03-2014,11-03-2014,13-03-2014,19-03-2014,ICICIBANK,Inflation Rate YoY FEB,Macro Economic,,,,,,,,
12-03-2014,11-03-2014,13-03-2014,19-03-2014,INFY,Inflation Rate YoY FEB,Macro Economic,,,,,,,,
